#{"t_start": 1606266109.279531, "env_id": null}
r,l,t
-1260.818494,377,404.098303
-941.078663,385,404.49365
-866.447844,334,404.829061
-725.606573,713,405.539701
-1417.796297,360,405.899344
-1749.447598,480,406.373177
57.379158,214,406.58498
-522.341349,326,406.914279
-4593.736235,815,407.833916
-6561.615049,560,408.520098
-1081.272311,561,409.185634
-230.560299,581,409.867838
-79.069528,628,410.78785
63.385637,186,410.985698
-1309.132446,448,411.460758
-621.543871,145,411.61545
-5687.885599,570,412.27435
-132.296711,124,412.401747
-100.969922,177,412.611168
-1608.943868,295,412.922471
-464.272985,304,413.259864
-419.475572,455,413.759863
-3225.867221,495,414.353612
22.340258,388,414.818681
-127.151416,93,414.918821
-2988.301449,563,415.581553
0.113896,135,415.722471
-72.537316,402,416.187249
-1224.084402,443,416.705318
-1958.752128,348,417.073671
66.892376,92,417.167576
-830.55396,406,417.586167
-312.03178,184,417.770412
-277.379234,254,418.028227
-259.817402,51,418.080384
-520.683323,218,418.302689
-585.211112,246,418.563983
-2153.763355,434,419.002072
-215.833364,150,419.16861
-516.097979,125,419.298074
-294.614999,269,419.582147
-5414.990895,596,420.189995
-287.776533,175,420.377862
-2801.523525,537,420.940266
-3087.557785,483,421.42454
-757.243913,291,421.717774
-1849.429265,408,422.172597
-2112.880713,587,422.786527
-47.694271,47,422.836636
-191.524744,67,422.904229
-980.37896,190,423.099456
-1291.799654,323,423.42644
-517.712976,552,423.988194
-2146.528558,395,424.393651
-34.696237,332,424.739549
-2837.521076,422,425.163712
-216.879697,186,425.353114
-2108.099856,280,425.642709
-45.678441,52,425.698142
-425.214177,95,425.80924
-218.703067,286,426.106221
-447.552044,332,426.450927
-35.281142,33,426.488743
35.407246,28,426.518286
-1245.522328,1183,427.747401
-3441.207975,518,428.333082
-1755.210609,577,429.029203
-840.702649,479,429.603472
61.026878,189,429.828112
-2782.102296,506,430.447923
-453.678352,216,430.707123
-1794.316718,436,431.227274
-1799.654797,556,431.854125
-341.058778,166,432.026636
-38.906331,45,432.075265
-1737.804779,191,432.283993
-506.910927,265,432.552182
-1037.48381,439,433.002377
-660.388744,224,433.240733
-394.610994,431,433.678827
39.077034,26,433.709452
-669.955308,260,433.971437
-3.639116,145,434.117586
-2412.820555,559,434.673644
-3467.706299,526,435.285911
