#{"t_start": 1606268491.899233, "env_id": null}
r,l,t
-2908.70868,286,228.23923
-3107.75347,300,228.538584
-663.387156,210,228.728991
-618.818524,108,228.829827
-3391.876378,442,229.262928
-1355.377554,301,229.54593
-1252.237541,117,229.659253
40.381785,24,229.692081
-1577.750023,223,229.917259
-195.323745,336,230.268079
-623.408102,131,230.396778
-1344.394359,284,230.703254
37.740672,140,230.830669
71.652813,117,230.947407
-1285.905471,113,231.063226
-1017.72638,212,231.279565
-135.537138,43,231.326889
44.806193,25,231.352523
-202.679798,117,231.467409
76.478941,74,231.531825
-2590.920468,448,231.941373
-338.068538,132,232.060081
-764.219971,348,232.403905
86.669822,123,232.529417
-1064.047025,500,233.042943
-304.559489,150,233.189097
-1099.262279,351,233.547428
-1276.05454,288,233.822376
-837.658397,456,234.29285
100.0,1,234.295117
-58.525595,174,234.466315
-1845.266514,259,234.710136
-1450.745791,191,234.887515
-209.676312,191,235.079204
-1615.07226,449,235.503518
-3156.696862,202,235.687721
84.73176,81,235.766579
-387.782484,320,236.077565
-14890.39184,738,236.779186
-2384.617349,175,236.944759
-4593.124097,234,237.167148
-4924.402243,366,237.522505
9.359251,31,237.557206
-208.595064,286,237.852332
-1692.020211,497,238.397404
-4574.634018,407,238.779237
-1493.717591,307,239.075352
-2378.634917,401,239.457697
-766.959264,248,239.675945
-2615.236853,338,239.99371
-1350.540978,417,240.416611
-936.034059,328,240.745376
-3362.243397,307,241.055586
62.859921,143,241.189973
-5630.443028,497,241.651123
-38.328574,118,241.764692
-2249.165783,327,242.080169
-550.681413,226,242.305097
-2550.547664,193,242.504905
-330.222702,352,242.852652
-171.120995,46,242.905945
-332.715151,151,243.096079
-71.650001,139,243.240653
-2078.627467,158,243.388543
-98.285446,368,243.725861
-2154.382295,279,244.010483
84.766973,101,244.124889
11.72232,95,244.22764
-31.095698,76,244.315302
-638.548332,260,244.579204
-3278.948908,444,245.02822
-1769.012824,292,245.301705
-1627.60299,370,245.646206
-13237.696678,699,246.341972
-1376.815639,133,246.470458
-3117.944592,494,246.935251
-177.791515,194,247.113617
-669.735408,242,247.340987
-4411.624269,415,247.714356
-416.516996,102,247.811888
-346.143803,207,248.019218
-2089.238122,265,248.269707
-1347.945495,112,248.375827
-314.492843,109,248.493356
-1104.420479,382,248.887085
-3482.193653,288,249.157799
-318.441376,143,249.302095
-10255.615026,632,249.903013
-422.80735,235,250.133814
100.0,1,250.138621
-3460.612136,196,250.33196
-1673.546984,349,250.694329
-1041.372679,123,250.821562
-2408.40698,308,251.163845
-2868.095662,511,251.648662
-1439.335611,315,251.964185
-567.222955,223,252.173878
-1697.006555,155,252.326253
-889.97688,255,252.581335
-1196.475782,424,253.013732
63.737818,211,253.205834
-1866.98551,316,253.4836
-882.992647,312,253.808403
-1815.654777,201,253.995546
-8231.191394,1073,255.077739
-367.449861,357,255.409302
-9314.393056,1091,256.452186
-1078.123555,323,256.783734
-949.467861,461,257.218557
-1343.488235,313,257.542404
-1539.146149,219,257.781192
-90.829336,158,257.946193
9.588539,574,258.508621
-55.119365,227,258.777446
-4699.067961,338,259.130966
-278.454073,229,259.355035
-14.315404,116,259.478479
-1990.480862,390,259.901677
-10391.205901,922,260.783436
-1356.385156,131,260.911397
47.307096,20,260.933662
13.689989,93,261.024558
-148.459687,47,261.071024
-1817.629599,543,261.592044
-1598.507695,338,261.939124
-7797.286182,767,262.705766
-22329.050912,1268,263.976747
-697.385786,162,264.131192
-1098.699285,537,264.658918
-304.709773,413,265.093169
-1033.899851,124,265.21744
100.0,1,265.219651
2.906782,34,265.253633
44.684249,283,265.526727
42.763193,109,265.625413
-1065.313792,335,265.994604
-596.186894,136,266.133165
-1430.559565,201,266.323885
-10731.8886,1032,267.438952
-952.711161,246,267.698189
-1184.006598,422,268.172111
-668.721471,104,268.295907
-154.50105,179,268.469962
-3443.697624,419,268.852408
-2605.41617,157,269.016531
-624.18192,290,269.305871
-1155.639602,239,269.538693
-7263.141445,817,270.345616
-942.625113,255,270.58317
-186.272401,171,270.738337
-1.667313,513,271.23105
-1512.358664,327,271.541209
-105.913229,89,271.639173
-6653.513101,883,272.479245
-689.120514,192,272.651009
-919.439112,171,272.826231
-27.558658,165,272.987679
-483.465703,265,273.232968
-3143.150352,423,273.670102
-1729.523804,353,274.030038
-767.571339,269,274.301545
-287.543568,442,274.728224
-2759.99133,361,275.080098
-5808.993226,543,275.588933
-1386.836152,282,275.887735
-1892.121708,342,276.249509
-3586.87425,328,276.598113
-144.074123,211,276.805121
-199.400759,70,276.878958
-1153.138114,507,277.38662
-1984.914686,158,277.533761
-2579.422982,418,277.940107
-856.534028,296,278.213849
-3102.74614,305,278.502976
-16212.000385,676,279.202976
-3188.786692,415,279.595361
-601.097439,77,279.669148
78.597842,68,279.751736
-1994.875939,324,280.059494
-940.049672,186,280.249149
-3948.218651,232,280.479882
-197.380907,223,280.716602
-42.587889,136,280.85544
-605.119845,300,281.162515
-85.5186,485,281.705987
-1884.247967,150,281.859629
-551.766491,197,282.041475
-832.468257,327,282.373819
-490.349055,486,282.84161
-945.814387,282,283.129993
-1342.442151,280,283.410698
-189.817527,201,283.605901
-60.363439,278,283.876
-233.97237,209,284.057315
-140.990215,235,284.273172
-444.048656,142,284.403236
-186.099013,132,284.534501
-4758.813895,571,285.090727
-32.807297,162,285.238729
-1810.202415,223,285.448751
-14617.937471,1027,286.383041
-363.237731,168,286.562627
-9488.099261,934,287.466322
-737.39328,110,287.594464
-1553.229984,319,287.903409
27.436257,73,287.97009
-1594.173062,522,288.480391
-1050.089747,300,288.789147
-4079.334447,211,288.988862
-7576.74308,760,289.742681
-1803.776459,399,290.122911
82.138627,205,290.315962
-756.241679,270,290.57752
-2120.974648,272,290.833579
-907.187155,183,291.017495
-28.989498,74,291.093019
-3126.01377,201,291.303834
-22.055669,43,291.353776
-328.655246,285,291.66113
-1067.430179,327,291.9698
-1340.796993,413,292.351548
-4460.465257,396,292.742305
-655.304314,271,293.002819
76.421143,62,293.061811
-325.10247,346,293.403834
76.803907,185,293.617704
-3160.581762,234,293.829424
-891.072517,198,294.015716
-648.179693,206,294.204648
-749.609379,258,294.468196
-1289.114065,409,294.879072
-812.004585,219,295.082974
-3230.616782,255,295.334541
-1187.070263,311,295.639791
-1349.301522,321,295.97491
-871.063326,192,296.153626
-2002.444046,355,296.504092
-1512.026099,328,296.814161
100.0,1,296.816585
-3141.979493,316,297.133724
-401.351851,95,297.220953
-1404.021934,350,297.586715
-3040.863787,484,298.037843
-3345.993361,206,298.241868
-238.672309,236,298.511154
-308.753294,286,298.782706
-1910.431913,195,298.980909
-1312.766789,131,299.09817
-1679.570568,338,299.445489
-594.47317,113,299.551119
-5569.156247,489,300.02531
-917.284826,398,300.412178
-1566.140119,312,300.720446
-5892.507441,467,301.182606
-304.198625,318,301.507109
61.936225,206,301.721886
-2166.218289,403,302.118971
-493.837348,321,302.453659
-9449.226434,996,303.434712
25.646584,97,303.526317
-1684.28738,296,303.793728
-629.087298,206,303.984066
-677.432723,404,304.356117
-31.140278,44,304.39668
-265.389789,268,304.645586
-189.144541,69,304.707611
-5958.866641,953,305.676551
-929.565982,285,305.973765
-5188.830622,617,306.552694
-2593.55752,392,306.906813
81.441431,93,307.007615
-5769.775054,305,307.326078
-369.309212,365,307.695399
-5796.035565,492,308.227974
-1653.556615,486,308.70023
-9161.643866,1159,309.862938
-1087.550481,403,310.304768
-439.74424,320,310.603759
-2786.86279,489,311.059829
-3324.459859,377,311.426907
-121.996919,311,311.723889
-19985.979252,1197,312.892835
-3033.929514,402,313.268638
-3224.120858,466,313.694752
-1961.399115,430,314.097347
69.364374,165,314.258758
-4863.728088,390,314.648703
-320.95302,163,314.801853
100.0,1,314.80391
12.88081,84,314.891551
-4207.347746,423,315.287951
-912.649537,383,315.689551
-2189.504916,388,316.044643
-1128.116042,417,316.471069
-2912.54619,473,316.93925
-385.951747,315,317.255362
-20.828314,349,317.605673
-126.279252,205,317.805016
-948.540396,415,318.243325
-1801.594756,367,318.580145
-654.693047,233,318.80339
-44.268778,171,318.97662
-1493.568387,324,319.27736
-2869.156151,356,319.591635
-4419.877126,404,319.990635
-8305.97428,1013,320.978193
-671.38624,110,321.094056
-36.652189,46,321.145792
-85.776293,201,321.350848
-458.252945,293,321.643557
-895.30297,398,322.043195
-1133.335087,338,322.348769
-5604.396707,492,322.838891
-876.632196,461,323.328159
-850.823917,208,323.517942
-2290.295476,417,323.908928
-2109.011187,511,324.390521
41.700744,297,324.695086
-927.157478,577,325.291567
-3040.384178,312,325.590846
-3521.431312,415,326.007191
-320.683049,231,326.231561
-20017.695422,1042,327.197045
-230.261912,525,327.748415
5.148838,568,328.306993
-4994.193011,331,328.601151
-58.787854,157,328.763768
-446.313549,514,329.232386
-656.660974,299,329.50101
-1137.508495,294,329.814566
-7432.550388,271,330.068859
-4570.369201,272,330.310186
-2938.850308,470,330.783075
-623.755945,98,330.872744
-1333.93268,922,331.771865
-206.227394,212,331.968217
-2127.415497,304,332.27926
-1899.261413,356,332.620894
-251.355811,144,332.761056
-714.570604,652,333.371624
-735.06342,342,333.67143
-2410.901035,243,333.903871
13.0409,207,334.097199
-1034.453503,396,334.453326
-1212.068983,117,334.581039
-1666.129285,346,334.916239
-2694.930701,443,335.31582
-4568.659534,477,335.795014
-1121.858384,303,336.053684
-1491.281765,406,336.422099
87.514796,143,336.552007
-685.333038,443,336.963544
-371.642877,112,337.07652
-6741.85735,425,337.474942
70.834743,82,337.559029
41.821053,350,337.903337
-256.529599,151,338.051474
-36.778098,66,338.118446
-1416.818743,129,338.235365
-158.622204,228,338.466943
24.772251,25,338.49864
-4520.897134,316,338.80576
-6411.487154,442,339.201012
-733.979671,155,339.332633
-104.829592,120,339.439656
-2790.024914,156,339.575282
-4788.808902,663,340.219863
-159.321452,108,340.325073
-2737.073034,461,340.744306
-985.808664,360,341.120184
-1703.849168,326,341.444106
-857.168897,270,341.719075
-2460.172926,225,341.946832
-1351.52619,289,342.234007
70.394665,142,342.397542
-18876.335637,873,343.221312
77.952894,171,343.395245
-1141.349041,439,343.811457
-2371.135477,390,344.186846
-4444.401171,379,344.537441
-8880.638504,543,345.048281
-2168.407581,387,345.416771
-23.54703,164,345.579346
-8470.789852,296,345.866866
-5890.700416,592,346.464148
-1137.483511,304,346.770205
-5284.918161,368,347.145065
-267.060653,350,347.48425
-927.855468,209,347.683849
76.894132,60,347.744635
-594.733265,240,348.002363
-196.295648,97,348.093168
-1888.003283,609,348.65205
-858.019195,173,348.80948
-1096.209827,283,349.117675
-257.682325,100,349.20792
-812.325953,302,349.48138
-607.844378,198,349.673972
-2022.091633,181,349.846222
-122.57889,191,350.033534
1.070525,75,350.105201
-1809.897418,360,350.438681
-276.05826,245,350.683686
-955.394843,263,350.947609
-3353.43135,286,351.205643
-1134.88266,516,351.66951
-923.939442,203,351.886096
41.981735,108,351.995688
-946.94833,337,352.303402
-901.619958,266,352.554983
-3407.143857,543,353.053318
-736.822868,335,353.353943
-4270.037677,358,353.689389
-1308.294098,271,353.930771
-866.577331,430,354.341035
-622.888764,302,354.666135
73.876013,137,354.797
-3100.192534,474,355.273969
-2121.282018,173,355.456707
-232.407647,151,355.612687
-961.768418,168,355.789046
-463.618446,192,355.979724
3.689644,71,356.046472
-1628.262732,339,356.383993
-1.493734,186,356.588095
-1057.332234,328,356.913544
-683.823511,262,357.161493
-135.51827,186,357.33537
84.841109,82,357.425394
-5999.950887,599,357.977
-1412.942248,248,358.202289
-1264.101812,325,358.496667
-796.750709,337,358.870562
-1363.543947,334,359.223951
-27.536824,107,359.329914
-2052.079089,372,359.723083
-989.666506,366,360.08692
75.437274,80,360.168204
-750.487288,238,360.413424
-3224.649961,177,360.599963
-837.533444,127,360.720265
-609.3188,312,361.025476
-2213.877239,421,361.450346
-415.152276,117,361.5675
-4019.213073,472,362.033277
-3319.428083,448,362.473764
-1487.418893,132,362.610641
-165.601965,106,362.706157
-232.405714,212,362.901939
-3042.85852,349,363.208855
-371.337169,291,363.476786
-84.823328,157,363.654639
-3337.096304,390,364.008239
-3464.191703,520,364.486715
-334.842461,352,364.810051
85.70257,97,364.912539
-824.198297,180,365.084024
50.445205,116,365.210551
-4.405979,135,365.346192
-3311.523886,477,365.834042
57.123652,125,365.975522
-2295.210346,293,366.266397
-257.040603,287,366.555346
-5425.195341,329,366.900435
-884.505308,266,367.140577
-3480.828289,299,367.448395
-841.442731,292,367.740282
-445.882524,236,367.974109
-2166.349795,250,368.226688
-1637.24398,145,368.364167
-4257.344742,591,368.926423
16.043,67,368.993884
-676.602678,333,369.302165
-1059.031071,173,369.480341
-7072.690939,430,369.886317
-277.169242,139,370.019388
-693.739108,293,370.30265
-355.281501,221,370.513361
-1990.605344,350,370.863892
-2209.208957,311,371.170544
88.097242,39,371.211315
-1976.20193,532,371.699635
-2245.882348,392,372.046271
-1778.394888,399,372.445598
-15.005852,79,372.529908
-5140.386786,666,373.148578
-272.695684,359,373.513885
-5003.910177,491,373.969498
-3489.632184,192,374.16071
77.184401,44,374.211412
-924.677561,347,374.536102
-2382.636892,157,374.685753
-911.473677,455,375.110698
-78.518288,300,375.394403
41.597972,21,375.417046
-8.912716,36,375.452268
2.163255,35,375.487802
-1169.3058,366,375.832917
-1217.334404,252,376.092441
-941.785284,363,376.467042
43.868844,21,376.488006
-1503.932007,283,376.737525
-3148.221824,280,376.988035
-529.952821,367,377.337166
-1235.062069,298,377.604894
-3897.941626,191,377.774716
-1954.503072,316,378.107621
-2662.444288,458,378.543969
91.820518,114,378.646387
-257.789411,556,379.165396
-1856.847996,356,379.504406
-4569.649645,450,379.945538
-392.147722,127,380.067805
-1177.627871,357,380.416525
-9686.958141,722,381.130254
-1836.321364,520,381.586722
-42.690196,182,381.752691
-2875.940011,273,382.03405
-1782.896274,213,382.236605
-1617.18377,303,382.503581
-489.794517,338,382.791806
-5115.025061,342,383.125942
-1386.636815,170,383.299548
-1668.283412,437,383.725732
-174.940435,269,383.988039
-181.313554,248,384.236354
75.386357,45,384.283421
-1457.108715,275,384.556009
-236.557851,313,384.892358
-1407.941066,282,385.176132
-326.410399,499,385.657974
-428.797942,230,385.899098
-2780.155268,339,386.208767
36.744594,118,386.318004
-1630.363158,137,386.443398
-818.868331,229,386.67906
-147.920463,159,386.825218
-462.613026,240,387.058654
-3017.582458,300,387.345872
-509.789918,92,387.435848
-2008.442041,190,387.642316
-5558.340077,409,388.027653
-29262.543887,1124,389.061746
-2801.49868,453,389.470086
-937.853519,525,389.950289
-3389.997718,367,390.297509
-1895.841689,264,390.52357
-1083.228473,365,390.829723
-683.090599,253,391.067371
-433.33454,235,391.31408
-2577.708436,162,391.472796
-609.673343,113,391.585055
-1833.099497,191,391.779767
63.328587,147,391.926804
-10780.639137,781,392.686304
-44.783705,121,392.799386
-133.549126,339,393.118772
-546.23035,113,393.230291
-672.89429,121,393.358526
-2438.837758,482,393.81639
-1348.508143,181,393.983249
-814.204371,280,394.257173
-901.830086,294,394.53645
76.74714,44,394.579986
85.686782,36,394.616041
