#{"t_start": 1607337599.7377625, "env_id": null}
r,l,t
-5536.313468,1001,7503.822485
650.370562,404,7504.243501
-8779.188091,524,7504.776873
436.819946,451,7505.196266
-1105.341037,696,7505.899289
567.837471,261,7506.162898
840.637561,195,7506.337978
-965.035339,656,7507.013319
-4695.102874,605,7507.64309
907.514083,302,7507.929928
720.044778,218,7508.160882
-27.576739,422,7508.590171
-9927.887121,540,7509.145641
-75.359321,747,7509.868326
648.145893,241,7510.116538
324.960369,912,7511.007675
-413.541156,703,7511.727734
-9109.695621,529,7512.231781
-5772.476266,591,7512.830573
-1554.870045,614,7513.435109
682.268706,151,7513.606062
807.135331,514,7514.092302
147.886383,513,7514.61969
-6674.527807,581,7515.169484
174.894574,350,7515.560584
802.033633,172,7515.72136
-8442.127928,542,7516.251527
-945.630714,588,7516.821307
-6787.403999,571,7517.436112
-553.403344,580,7517.986228
-677.668923,421,7518.410511
501.240273,522,7518.910807
-6873.718899,574,7519.488631
-4603.093367,588,7520.083554
922.487467,285,7520.349332
-6812.465542,716,7521.010626
-4285.730703,523,7521.492958
839.318976,238,7521.7409
820.534412,217,7521.958513
-4524.60927,683,7522.634468
-510.217599,315,7522.956372
444.978795,349,7523.323412
-6911.462902,742,7524.004218
-687.460545,379,7524.391954
723.76449,148,7524.533221
599.615203,237,7524.763692
-144.755935,227,7524.987049
988.020605,388,7525.366013
-8551.41371,790,7526.118877
-3113.261813,616,7526.734048
920.504694,292,7527.007841
-9622.816972,865,7527.93098
-6169.315804,849,7528.8199
-334.532031,673,7529.4929
685.970401,169,7529.642627
-5095.081122,602,7530.247303
106.89267,275,7530.506553
725.096062,338,7530.83339
705.275286,293,7531.099691
285.251309,430,7531.523235
-254.380897,489,7532.001567
977.781175,57,7532.080587
819.052114,105,7532.20718
-8087.810045,556,7532.736646
-201.962847,598,7533.368187
-249.908018,501,7533.839575
137.377753,193,7534.044979
801.906458,358,7534.412417
-3196.498959,519,7534.920382
-787.112914,602,7535.561988
923.856719,96,7535.631108
-6498.017723,544,7536.214699
658.891744,465,7536.677027
425.270401,246,7536.936514
625.668467,269,7537.200632
-8072.154582,664,7537.817395
-1456.899718,515,7538.375975
-9136.182264,791,7539.151196
938.243513,75,7539.206345
-1735.050868,870,7540.04458
-7494.408265,674,7540.710603
-6610.881858,664,7541.37378
443.36497,273,7541.666965
679.576286,166,7541.825416
631.050043,107,7541.942366
-113.563985,258,7542.209409
868.286032,135,7542.347505
-13285.133354,831,7543.142483
-2267.484581,874,7543.99162
-116.52778,291,7544.264991
936.04178,118,7544.375111
640.402511,183,7544.560479
361.083708,214,7544.760351
884.416543,136,7544.883238
-9253.030427,566,7545.458045
-161.75651,324,7545.757812
-4412.682594,998,7546.739188
974.481931,314,7547.050581
-4480.826567,528,7547.591419
-795.058706,500,7548.064348
876.39236,259,7548.318623
163.449414,411,7548.718914
-7667.737952,545,7549.256577
957.767701,464,7549.728406
-1777.503747,540,7550.262397
205.226496,357,7550.626607
-7291.350729,593,7551.214459
-4910.740733,578,7551.817559
14.847627,281,7552.102446
-913.166107,522,7552.637824
-990.326376,643,7553.312919
-5750.11259,542,7553.803526
-115.512235,478,7554.297529
992.61821,266,7554.559713
-7018.517887,532,7555.088881
-656.716915,504,7555.576332
-1607.923007,633,7556.212324
838.43577,138,7556.343095
-1069.141974,691,7556.995695
890.43677,309,7557.325023
902.120744,165,7557.463499
-7226.631062,1001,7558.360466
-7705.728588,569,7558.904139
-8090.826493,794,7559.612689
916.627724,222,7559.846688
830.652323,131,7559.970387
-499.006024,598,7560.532037
990.353791,309,7560.873328
-236.488448,487,7561.357475
