#{"t_start": 1606305409.507581, "env_id": null}
r,l,t
-11464.290143,1436,226.778545
-275.868433,161,226.938244
-688.256932,415,227.359707
-308.763396,339,227.680385
54.579077,17,227.696917
-360.983216,205,227.909568
-271.12862,95,228.017407
-761.508773,498,228.483844
-1560.913846,249,228.685992
-2554.256543,674,229.340147
-644.27188,100,229.446541
100.0,1,229.448469
-6026.685575,769,230.210026
-824.084357,564,230.735808
-1574.872428,843,231.586445
-550.565477,92,231.649146
40.930302,35,231.702065
-2072.765881,561,232.234013
-279.387173,326,232.530538
-2047.581687,577,233.122417
-14702.005918,1183,234.241424
-11804.209161,1132,235.337435
8.011333,180,235.523274
-7278.890211,807,236.301597
-5581.872901,1158,237.424267
-1140.533691,423,237.836018
-294.804722,97,237.942214
-727.839677,247,238.182662
51.490123,464,238.607001
-205.456567,257,238.851099
-1650.03737,524,239.380434
-925.627149,250,239.608842
-960.160664,183,239.804027
-2764.834963,439,240.227364
-1627.992329,543,240.777576
-855.236921,500,241.218944
-170.176691,203,241.40489
-3366.540294,518,241.923349
-269.474497,350,242.265615
-1759.982583,291,242.533882
-92.503835,92,242.633783
-344.38156,165,242.782039
100.0,1,242.783953
9.741213,231,243.006161
-1305.808009,528,243.535707
-238.013709,451,243.98999
-1481.034695,324,244.295792
-1084.49783,248,244.546192
-1491.410866,396,244.924736
-2536.232712,437,245.356431
-1836.84166,248,245.605846
-136.730936,129,245.721473
-22.787122,119,245.813581
-477.706792,258,246.06115
-248.065998,292,246.380308
-4065.829214,526,246.886374
-2434.555652,610,247.445594
-358.41878,140,247.581086
74.679113,68,247.634471
-1460.085421,788,248.410851
-389.991838,116,248.527136
83.493489,70,248.611223
-3742.965183,705,249.266661
100.0,1,249.269552
-117.058203,106,249.372437
-1292.556523,365,249.74012
-2483.138252,547,250.272473
-282.988928,75,250.359233
-2302.650224,423,250.758799
-318.78286,136,250.89089
-127.117942,106,251.002771
-1291.125574,336,251.349052
-103.743586,129,251.465983
-882.914257,299,251.731663
-1182.923974,263,251.986268
-1459.892126,459,252.448312
-849.638233,416,252.835528
-658.927858,144,252.965525
46.133947,174,253.145806
-6552.034681,598,253.745221
-971.767411,370,254.128302
-1209.448772,236,254.362694
-110.135386,32,254.391126
-665.500006,395,254.774693
-1084.567274,331,255.110713
-2404.936743,259,255.377917
-731.654268,508,255.864432
-1369.490871,181,256.032659
-1187.626519,319,256.354029
-137.27755,151,256.499392
-43.976878,274,256.758625
-160.786902,108,256.874954
-1414.74466,479,257.361591
-495.18183,277,257.606419
-2394.419901,198,257.782993
-126.874236,75,257.871878
-923.406024,419,258.27365
-119.78308,209,258.487292
-156.413103,206,258.669448
-1456.026779,232,258.901292
-1263.126526,332,259.244189
-2178.003853,596,259.773815
-763.440882,112,259.886973
-16.500137,118,260.014242
-1.842462,313,260.339816
-816.313632,396,260.715967
-126.380737,189,260.870119
-929.236563,288,261.175428
-5072.555384,635,261.739716
-3215.284052,507,262.239824
10.823161,189,262.435304
-69.51459,113,262.538528
-263.82839,134,262.666577
-1762.808304,546,263.203311
-3939.651184,577,263.762158
-252.656911,247,264.012199
-942.551032,398,264.400625
-720.973777,251,264.651117
-888.21111,301,264.95607
-303.105683,87,265.054951
-1874.801112,372,265.421894
-675.294956,271,265.672328
-353.921236,371,266.031444
-3077.812196,561,266.54379
-812.98896,593,267.129414
93.643427,67,267.184865
-1751.486877,396,267.546438
-4416.023643,633,268.168373
-3446.208731,599,268.766776
-1671.182187,394,269.135929
-1620.18045,500,269.61683
-1701.871145,464,270.109053
-887.448597,246,270.352527
67.52894,69,270.435963
-37.0746,306,270.735805
-1464.009155,325,271.066831
-533.0271,133,271.202543
-1602.862499,526,271.734675
-1145.134291,654,272.322398
-19.631375,101,272.429649
-884.468138,242,272.684025
-523.293178,503,273.184893
-2478.676077,400,273.559782
-296.873674,375,273.936279
-2004.316619,246,274.173843
33.769838,258,274.416901
-296.975314,205,274.596511
-23.246548,397,274.960847
-35.291889,402,275.373707
59.78669,280,275.644788
-145.274545,167,275.799761
-5588.191827,561,276.325397
-896.07337,205,276.548302
-1053.282039,261,276.798042
-2731.083444,372,277.142293
-158.240646,239,277.371347
-2515.402371,575,277.925006
49.877836,18,277.942332
-343.72693,132,278.065127
-546.127778,257,278.335707
-784.9364,184,278.521664
-384.611007,115,278.64088
-2399.020892,618,279.205261
-359.318578,138,279.337444
-295.922764,127,279.465602
-2572.904335,453,279.889071
-43.185832,489,280.384464
-4247.499084,541,280.910165
-78.299606,150,281.063409
61.388006,141,281.226901
-1702.396511,494,281.677873
-331.8098,355,282.018618
-3.998813,309,282.357268
-1310.028653,511,282.826198
-5818.796792,583,283.362308
-897.540403,389,283.754482
-447.442433,349,284.104527
-929.75458,371,284.493769
-3834.004421,676,285.137236
-5659.14366,633,285.757316
-126.37922,409,286.129282
-1458.32542,278,286.40502
-1039.12957,443,286.847819
-310.650513,229,287.064941
74.61435,166,287.247115
-75.727647,115,287.365237
-2868.575881,484,287.830537
67.618939,158,287.965482
-46.362344,275,288.224312
-1236.839679,475,288.68033
76.151523,104,288.789364
-1643.725377,359,289.138972
-108.382043,176,289.331211
-813.701501,397,289.707321
-487.294961,116,289.817551
57.961972,168,289.968456
-2397.427632,554,290.508834
-1036.666987,232,290.738713
77.553464,240,290.964811
-906.179431,288,291.235079
-3261.264023,630,291.830569
-1883.656254,425,292.271365
-458.551292,309,292.565163
83.402794,38,292.598082
-3780.602798,574,293.184952
-6676.346724,569,293.711588
-1212.380469,400,294.125269
-293.171081,357,294.4897
-1846.253668,499,294.966961
-6237.033558,629,295.596454
-1454.27093,401,295.987274
-1200.281337,301,296.253932
-1529.050464,404,296.656409
-808.138259,305,296.950286
-1856.631737,481,297.406612
-531.860959,231,297.637553
-169.930993,199,297.786398
-26.052033,147,297.931726
-1962.757239,318,298.251685
-239.446029,201,298.435372
-372.200068,228,298.668449
-3089.477171,741,299.376625
-4979.095257,631,299.990166
-1045.397689,145,300.126386
-8430.887237,590,300.695537
-249.52977,183,300.877052
82.553852,50,300.923602
-794.906944,459,301.367684
-515.037221,153,301.507959
-4091.867397,696,302.206768
-41.39826,82,302.273018
-692.595788,143,302.418233
100.0,1,302.420594
-1617.883472,456,302.884317
57.386388,16,302.90067
-1612.587651,387,303.280403
86.295297,48,303.319752
-920.869936,491,303.799764
-2135.031904,498,304.265179
57.819833,186,304.462911
-2666.470034,574,305.013289
-1672.623472,526,305.497158
-196.807278,241,305.740494
-837.880025,417,306.106252
-8091.209151,623,306.700291
-1035.287681,412,307.089396
-440.400481,107,307.194989
-312.693168,171,307.369011
-1059.660375,186,307.548725
-939.598003,569,308.105405
-1007.639286,645,308.715421
-1514.952786,474,309.150104
-3527.398157,853,309.999933
-10689.259182,1219,311.152593
-2594.559261,578,311.745721
-14670.803273,1045,312.780811
-14.836511,87,312.875726
-1882.316565,609,313.485146
-4703.525617,993,314.500678
